model_id,model_name,organization,total_params_b,active_params_b,context_k,modalities,workloads,license,openness,vllm_status,source,notes,verified_repo,verified_revision,verified_endpoint,verified_at,artifact_params_b,license_id,context_source,attention_kind,kv_elems_per_token_per_layer,attention_layers,attention_basis,has_recipe
yi15-34b,Yi-1.5-34B-Chat,01.AI,34,34,4,text,general;chinese,Apache-2.0,open-source,supported,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,上下文取自仓库 config.json(4096),01-ai/Yi-1.5-34B-Chat,fa4ffba162f20948bf77c2a30eca952bf0812b7f,hf-mirror.com,2026-09-16,34.39,apache-2.0,config,,,,未记录,
yi15-9b,Yi-1.5-9B-Chat,01.AI,9,9,4,text,general;chinese,Apache-2.0,open-source,supported,https://huggingface.co/01-ai/Yi-1.5-9B-Chat,上下文取自仓库 config.json(4096),01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,hf-mirror.com,2026-09-16,8.83,apache-2.0,config,,,,未记录,
internlm3-8b,InternLM3-8B-Instruct,Shanghai AI Lab,8,8,32,text,general;chinese;agent,Apache-2.0,open-source,supported,https://huggingface.co/internlm/internlm3-8b-instruct,上下文取自仓库 config.json(32768),internlm/internlm3-8b-instruct,28c99415adaf61767bd1c619f4f99f308fdfd223,hf-mirror.com,2026-09-16,8.8,apache-2.0,config,,,,未记录,
internvl3-78b,InternVL3-78B,OpenGVLab,78,78,32,text;image,multimodal;ocr,Qwen License,open-weights,verify,https://huggingface.co/OpenGVLab,上下文取自仓库 config.json(32768),OpenGVLab/InternVL3-78B,4a42b163cc0e222e97b10b562eee98da6bf26077,hf-mirror.com,2026-09-16,78.41,other:qwen,config,,,,未记录,
internvl3-14b,InternVL3-14B,OpenGVLab,14,14,32,text;image,multimodal;ocr,Apache-2.0,open-source,verify,https://huggingface.co/OpenGVLab,上下文取自仓库 config.json(32768),OpenGVLab/InternVL3-14B,419aa10d2db7da6c64382ad3124f79a60cec42aa,hf-mirror.com,2026-09-16,15.12,apache-2.0,config,,,,未记录,
olmo2-32b,OLMo-2-0325-32B-Instruct,AI2,32,32,4,text,general;research,Apache-2.0,open-source,supported,https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct,上下文取自仓库 config.json(4096),allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,hf-mirror.com,2026-09-16,32.23,apache-2.0,config,,,,未记录,
olmo2-13b,OLMo-2-1124-13B-Instruct,AI2,13,13,4,text,general;research,Apache-2.0,open-source,supported,https://huggingface.co/allenai/OLMo-2-1124-13B-Instruct,上下文取自仓库 config.json(4096),allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,hf-mirror.com,2026-09-16,13.72,apache-2.0,config,,,,未记录,
olmo2-7b,OLMo-2-1124-7B-Instruct,AI2,7,7,4,text,general;research,Apache-2.0,open-source,supported,https://huggingface.co/allenai/OLMo-2-1124-7B-Instruct,上下文取自仓库 config.json(4096),allenai/OLMo-2-1124-7B-Instruct,470b1fba1ae01581f270116362ee4aa1b97f4c84,hf-mirror.com,2026-09-16,7.3,apache-2.0,config,,,,未记录,
granite33-8b,Granite-3.3-8B-Instruct,IBM,8,8,128,text,enterprise;rag;general,Apache-2.0,open-source,supported,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct,上下文取自仓库 config.json(131072),ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,hf-mirror.com,2026-09-16,8.17,apache-2.0,config,,,,未记录,
smollm3-3b,SmolLM3-3B,Hugging Face,3,3,128,text,edge;general,Apache-2.0,open-source,supported,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,上下文:官方模型卡:64k 训练 / 128k(需打开 YaRN),HuggingFaceTB/SmolLM3-3B,a07cc9a04f16550a088caea529712d1d335b0ac1,hf-mirror.com,2026-09-16,3.08,apache-2.0,card,,,,未记录,
baichuan2-13b,Baichuan2-13B-Chat,Baichuan,13,13,4,text,general;chinese;legacy,厂商自定义许可(HF: other),open-weights,supported,https://huggingface.co/baichuan-inc/Baichuan2-13B-Chat,"旧模型；HF license=other 且未给 license_name,按 HF 原样登记；参数量:该 artifact 未发布 safetensors 参数索引,无法从仓库独立核实,沿用官方标称值",baichuan-inc/Baichuan2-13B-Chat,c8d877c7ca596d9aeff429d43bff06e288684f45,hf-mirror.com,2026-09-16,,other,,,,,未记录,
bge-m3,BAAI-bge-m3,BAAI,0.6,0.6,8,text,embedding;retrieval,MIT,open-source,supported,https://huggingface.co/BAAI/bge-m3,"embedding；上下文取自仓库 config.json(8194)；参数量:该 artifact 未发布 safetensors 参数索引,无法从仓库独立核实,沿用官方标称值",BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,hf-mirror.com,2026-09-16,,mit,config,,,,未记录,
bge-reranker-v2-m3,bge-reranker-v2-m3,BAAI,0.6,0.6,8,text,reranking;retrieval,Apache-2.0,open-source,supported,https://huggingface.co/BAAI/bge-reranker-v2-m3,reranker；上下文取自仓库 config.json(8194),BAAI/bge-reranker-v2-m3,953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,hf-mirror.com,2026-09-16,0.57,apache-2.0,config,,,,未记录,
qwen3-embedding-8b,Qwen3-Embedding-8B,Qwen,8,8,32,text,embedding;retrieval,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-Embedding-8B,embedding；上下文:官方模型卡:32k,Qwen/Qwen3-Embedding-8B,1d8ad4ca9b3dd8059ad90a75d4983776a23d44af,hf-mirror.com,2026-09-16,7.57,apache-2.0,card,,,,未记录,
qwen3-embedding-4b,Qwen3-Embedding-4B,Qwen,4,4,32,text,embedding;retrieval,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-Embedding-4B,embedding；上下文:官方模型卡:32k,Qwen/Qwen3-Embedding-4B,5cf2132abc99cad020ac570b19d031efec650f2b,hf-mirror.com,2026-09-16,4.02,apache-2.0,card,,,,未记录,
qwen3-embedding-06b,Qwen3-Embedding-0.6B,Qwen,0.6,0.6,32,text,embedding;retrieval,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,embedding；上下文:官方模型卡:32k,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,hf-mirror.com,2026-09-16,0.6,apache-2.0,card,,,,未记录,
qwen3-reranker-8b,Qwen3-Reranker-8B,Qwen,8,8,32,text,reranking;retrieval,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-Reranker-8B,reranker；上下文:官方模型卡:32k,Qwen/Qwen3-Reranker-8B,77d193c791ed757ca307ee72715aa132723da912,hf-mirror.com,2026-09-16,8.19,apache-2.0,card,,,,未记录,
